Name,D1_MarketMechanism,D2_OracleType,D3_OutcomeStructure,D4_MarketCreation,D5_BlockchainPlatform,D6_GovernanceModel,D7_CollateralModel,Status,InTable4,ReasonIfOmitted
Polymarket,CLOB,Optimistic,Bin/Cat,Curated,Polygon,Operator,Stablecoin,Active,Yes,
Kalshi,CLOB,Centralized,Binary,Curated,Centralized,Operator,Fiat,Active,Yes,
Augur v2,Order Book,Schelling,Bin/Cat/Scl,Open,Ethereum L1,DAO,Multi-asset,Dormant,Yes,
Gnosis/Omen,FPMM,Bond-escl.,Bin/Cat/Scl,Open,Gnosis Ch.,DAO,Multi-asset,Dormant,Yes,
Azuro,vAMM,Centralized,Bin/Cat,Curated,Multi-chain,DAO,Stablecoin,Active,Yes,
Zeitgeist,Rikiddo,Schelling,Bin/Cat/Scl,Open,Polkadot,DAO,Native,Active,Yes,
Overtime,BS-AMM,Chainlink,Bin/Cat,Curated,OP / Arb,DAO,Stablecoin,Active,Yes,
MetaDAO,CLOB,TWAP,Binary,Open,Solana,Futarchy,Multi-asset,Active,Yes,
Drift BET,CLOB,Centralized,Binary,Curated,Solana,DAO,Multi-asset,Active,Yes,
Seer,CPMM,Bond-escl.,Bin/Cat/Scl,Open,Gnosis Ch.,DAO,Stablecoin,Active,Yes,
XO Market,LS-LMSR,AI-hybrid,Bin/Cat,Open,Celestia,DAO,Stablecoin,Active,Yes,
Rain,AMM,AI-hybrid,Bin/Cat,Open,Arbitrum,DAO,Stablecoin,Active,Yes,
Opinion,CLOB,AI,Bin/Cat,Hybrid,BNB Chain,Operator,Stablecoin,Active,Yes,
Limitless,CLOB,Pyth,Binary,Curated,Base,Operator,Stablecoin,Active,Yes,
functionSPACE,Distribution,Endogenous,Distributional,Open,TBD,DAO,TBD,Design-stage,Yes,
Predict.fun,Hybrid,Centralized,Bin/Cat,Hybrid,BNB Chain,Operator,Stablecoin,Active,Yes,
Hedgehog,AMM,Centralized,Bin/Cat,Open,Solana,Operator,Stablecoin,Active,Yes,
Presagio,CPMM,Bond-escl.,Bin/Cat,Open,Gnosis Ch.,DAO,Stablecoin,Active,Yes,
Thales,BS-AMM,Chainlink,Binary,Curated,OP / Arb,DAO,Stablecoin,Active,Yes,
PancakeSwap,Parimutuel,Chainlink,Binary,Curated,BNB Chain,DAO,Native,Active,Yes,
Butter,Hybrid,Centralized,Binary,Curated,Ethereum L1,DAO,Multi-asset,Active,Yes,
Myriad,AMM,Centralized,Bin/Cat,Hybrid,Multi-chain,DAO,Stablecoin,Active,Yes,
SX Network,CLOB,Centralized,Binary,Curated,SX Chain,DAO,Stablecoin,Active,Yes,
Monaco/BetDEX,CLOB,Centralized,Binary,Curated,Solana,Operator,Stablecoin,Active,Yes,
Hxro,Parimutuel,Centralized,Bin/Cat,Open,Solana,DAO,Stablecoin,Active,Yes,
LEVR Bet,Hybrid,Centralized,Binary,Curated,Monad,Operator,Stablecoin,Active,Yes,
Precog Subnet,—,AI,Distributional,Open,Bittensor,DAO,Native,Active,Yes,
Predyx,CLOB,Centralized,Binary,Open,Bitcoin,Operator,Native,Active,Yes,
Polkamarkets,AMM,Arbitration,Bin/Cat,Open,Polkadot,DAO,Native,Active,Yes,
Manifold,CPMM,Centralized,Bin/Cat/Scl,Open,Centralized,Operator,Play-money,Active,Yes,
PredictIt,CLOB,Centralized,Bin/Cat,Curated,Centralized,Operator,Fiat,Active,Yes,
ForecastEx,CLOB,Centralized,Binary,Curated,Centralized,Operator,Fiat,Active,Yes,
Robinhood PM,CLOB,Centralized,Binary,Curated,Centralized,Operator,Fiat,Active,Yes,
Crypto.com OG,CLOB,Centralized,Binary,Curated,Centralized,Operator,Fiat,Active,Yes,
World,—,Chainlink,Bin/Cat,Curated,Solana,Operator,Stablecoin,Active,Yes,
